plain_urdu,poetic_urdu
پل مضبوط ہے۔,پل مضبوط ہے۔
پھل پک گئے ہیں۔,پھل پک گئے۔
پھول باغ میں خوشبو بکھیرتے ہیں۔,گلشن میں گلوں نے عطر کی دھوم مچائی
پھول باغ میں خوشبو بکھیرتے ہیں۔,گلشن میں پھولوں کی مہک فضا کو معطر کرتی ہے۔
پھول باغ میں خوشبو پھیلاتے ہیں۔,گلشن میں گل عطر فشاں ہوتے ہیں۔
پھول باغ میں خوشبو پھیلاتے ہیں۔,گلشن میں گلوں سے عطر فشاں ہے۔
پھول باغ میں کھلتے ہیں,گلشن میں رنگ و بو سے مہکتے ہیں گل
پھول باغ میں کھلتے ہیں۔,چمن میں گلوں کا تبسم، بہار کا پیغام
پھول باغ میں کھلتے ہیں۔,گلزار میں گل رنگ بکھیرتے ہیں۔
پھول باغ میں کھلتے ہیں۔,گلشن میں رنگوں کی حکمرانی ہے۔
پھول باغ میں کھلتے ہیں۔,گلشن میں شگفتہ ہیں گل رعنائیاں۔
پھول بہت خوبصورت ہیں۔,گل ہیں رنگیں، دلکشا، بزمِ جہاں کی زینت۔
پھول بہت خوبصورت ہے۔,گل ہیں کیا رنگیں، عجب بہار ہے۔
پھول خوبصورت ہیں۔,رنگ و بو سے مہکے ہیں گلزار۔
پھول خوشبو دیتے ہیں۔,گلوں سے مہک فضا میں گھلی ہے
پھول رنگین ہے۔,پھول رنگین ہیں۔
پھول کھل رہے ہیں,بہار نے رنگوں سے کہانی لکھی ہے
پھول کھل رہے ہیں۔,گلشن میں گلاب مسکرا رہے ہیں۔
پھولوں سے خوشبو آتی ہے,گلوں سے مہک فضا میں بکھر جاتی ہے
پھولوں سے خوشبو آتی ہے۔,گلشن میں بکھری ہے عطر کی مہک ہر سو۔
پھولوں سے خوشبو آتی ہے۔,گلشن میں مہکتی ہے ہر سو گل کی خوشبو۔
پھولوں سے خوشبو آتی ہے۔,گلوں سے مہک اٹھی ہے فضائے گلستان۔
پھولوں سے خوشبو آتی ہے۔,گلوں سے اُٹھتی ہے مہک بادِ صبا کے ساتھ۔
پھولوں سے خوشبو آتی ہے۔,گلوں سے مہک اٹھتی ہے فضائے چمن۔
پھولوں سے خوشبو آتی ہے۔,گلوں سے مہکتی ہے بہار۔
پھولوں کی خوشبو دل کو لبھاتی ہے,رنگ و بو کی یہ رعنائیاں ہیں باعثِ اضطراب
پھولوں کی خوشبو ہوا میں پھیلی ہوئی ہے۔,رنگ و بو کی فضا ہر سو چھائی ہوئی ہے۔
پھولوں میں خوشبو ہوتی ہے,گلوں میں رچی ہے مہک، کیا لطف ہے اس میں
پھولوں میں خوشبو ہوتی ہے۔,پھولوں میں بسا ہے عطرِ بہار۔
پھولوں میں خوشبو ہوتی ہے۔,گلوں میں بسا ہے عطرِ بہار۔
پھولوں میں خوشبو ہوتی ہے۔,گلوں میں رعنائیاں پنہاں ہوتی ہیں۔
پھولوں میں خوشبو ہوتی ہے۔,گلوں میں رقصاں ہے عطر کی فراوانی
پھولوں میں خوشبو ہے۔,گلشن میں مہکتی ہے رنگوں کی زباں۔
پہاڑ اپنی جگہ پر قائم ہیں۔,کوہ اپنی جگہ پر استادہ ہیں۔
پہاڑ بلند ہیں۔,پہاڑوں کی بلندی ہے عظمت کی نشانی
پہاڑ بلند ہے۔,کوہسار سر بلند ہے۔
پہاڑ بلند ہے۔,پہاڑ بلند ہے۔
پہاڑ بہت اونچے ہوتے ہیں۔,کوہساروں کی عظمت فلک بوس ہے
پہاڑ بہت اونچے ہوتے ہیں۔,کوہسار فلک بوس ہیں کیا کہنا۔
پہاڑ بہت اونچے ہیں۔,ہیں یہ کوہِ گراں، عظمت کی نشانی۔
پہاڑ زمین کی بلندی ہیں۔,کوہسار زمیں کا وقار ہیں۔
پودا چھوٹا ہے۔,پودا چھوٹا ہے۔
پودوں کی دیکھ بھال کرو۔,پودوں کو پانی دو
پودے لگاؤ۔,شجر کاری کرو۔
پیسہ ضروری ہے۔,پیسہ زندگی کو آسان بناتا ہے
پیسہ کماؤ۔,رزق حلال کماؤ
تتلی اڑ رہی ہے۔,تتلی اڑ رہی ہے۔
تجربہ حاصل کرو۔,تجربات سے گزرو۔
تجربہ حاصل کرو۔,تجربہ حاصل کرنا زندگی کا حصہ ہے
تجربہ کرو۔,نئے تجربات کرو
تحقیق کرو۔,حقائق کی تحقیق کرو
تخلیق کرو۔,کچھ نیا تخلیق کرو
تصویر ایک کہانی بیان کرتی ہے۔,تصویر ایک خاموش داستان سناتی ہے
تعلیم بہت ضروری ہے۔,علم ہے وہ زیور، جس سے روشن ہے جہاں۔
تعلیم ترقی کی بنیاد ہے۔,تعلیم ہے بنیاد ترقی کی۔
تعلیم حاصل کرو,کسبِ علم سے زندگی کو سنوارو
تعلیم حاصل کرو۔,تعلیم زندگی کو بہتر بناتی ہے
تعلیم حاصل کرو۔,علم حاصل کرو۔
تعلیم حاصل کرو۔,علم کی روشنی حاصل کرو
تعلیم روشنی ہے۔,تعلیم نور ہے۔
تعلیم زندگی کی بنیاد ہے۔,تعلیم سے ہے زندگی کی تعمیر۔
تمیز سے بات کرو۔,شائستگی سے گفتگو کرو۔
توبہ کرو۔,استغفار کرو۔
ٹیکس ادا کرو۔,وقت پر ٹیکس ادا کرو
ٹیکسلا ایک اہم تاریخی مقام ہے۔,ٹیکسلا ہے تاریخی مقام، علم و ادب کا گہوارہ ہے تو
جانوروں پر رحم کرو۔,جانوروں پہ رحم کرو، یہ ہے انسانیت کا درس۔
جانوروں پر رحم کرو۔,حیوانات پر رحم کرو۔
جانوروں پر رحم کرو۔,جانوروں پر رحم کرنا انسانیت ہے
جانوروں کا خیال رکھو۔,جانوروں کے ساتھ شفقت سے پیش آؤ
جانوروں کی مدد کرو۔,بے زبان جانوروں پر رحم کرو
جزیرہ پرسکون ہے۔,جزیرہ پرسکون ہے۔
جشن مناؤ۔,جشنِ مسرت مناؤ۔
جنگ بری چیز ہے۔,جنگ تباہی پھیلاتی ہے
جنگل سبزہ زار ہے۔,جنگل کی ہریالی ہے قدرت کا کرشمہ
جنگل گھنا ہے۔,جنگل گھنا ہے۔
جنگل گھنا ہے۔,جنگل میں پیڑ گھنے ہیں۔
جھوٹ بدبودار ہے۔,کذب ناگوار ہوتا ہے۔
جھوٹ کا انجام برا ہوتا ہے۔,جھوٹ کا انجام رسوائی ہے۔
جھوٹ کی بنیاد کمزور ہوتی ہے۔,کذب کی عمارت ہمیشہ لرزاں ہوتی ہے۔
جھوٹ کی کوئی بنیاد نہیں ہوتی۔,دروغ را نیست پایہ۔
جھوٹ کی کوئی بنیاد نہیں ہوتی۔,جھوٹ کی بنیادیں ہیں ریت کی مانند۔
جھوٹ کی کوئی بنیاد نہیں ہوتی۔,کذب کی کوئی اساس نہیں۔
جھوٹ کے پاؤں نہیں ہوتے۔,دروغ پا ندارد۔
جھوٹ کے پاؤں نہیں ہوتے۔,کذب کی بنیادوں میں لرزش ہی لرزش ہے
جھوٹ مت بولو,کذب سے پرہیز کرو
جھوٹ مت بولو۔,جھوٹ سے اجتناب کرو
جھوٹ مت بولو۔,جھوٹ بولنے سے مسائل بڑھتے ہیں
جھوٹ نہیں بولنا چاہیے۔,کذب سے بچو، ہے یہ گناہ عظیم۔
جھوٹ نہیں بولنا چاہیے۔,کذب سے بچو ہمیشہ، یہ ہے برائی کی جڑ۔
جھوٹ نہیں بولنا چاہیے۔,دروغ سے داغ دامن پہ لگتا ہے
جھوٹ ہمیشہ ہارتا ہے۔,کذب کی ہوتی ہے ہمیشہ شکست۔
جھیل پرسکون ہے۔,جھیل پرسکون ہے۔
جہالت اندھیرا ہے۔,جہل ظلمت ہے۔
جہالت اندھیرا ہے۔,جہالت تباہی لاتی ہے
جواب دو۔,جواب ارشاد کرو۔
چائے گرم ہے,چائے ہے گرم، اب پی لیجیے
چائے گرم ہے۔,چائے کی گرمی سے ملتی ہے تازگی
چاند آسمان پر روشن ہے,مہتاب فلک پر نور کی بارش کرتا ہے
چاند چمک رہا ہے۔,مہتاب کی ضیا باری ہے۔
چاند رات کو آسمان پر چمکتا ہے,مہتاب شب کی جبیں پر نور بن کے دمکتا ہے
چاند رات کو آسمان پر چمکتا ہے,مہتاب شب کی جبیں پر کرتا ہے نور افشاں
چاند رات کو آسمان پر چمکتا ہے,فلک پر شب میں درخشاں ہے ماہِ کامل
چاند رات کو آسمان پر چمکتا ہے,ماہِ کامل فلک پر بکھیرتا ہے نورِ ناب
چاند رات کو آسمان پر چمکتا ہے۔,مہتاب شب کی جبینِ آسماں پر ضیا بار ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,شب کی جبین پر روشن ہے ماہِ تمام۔
چاند رات کو آسمان پر چمکتا ہے۔,ماہِ کامل شبِ تار میں کرتا ہے جلوہ گری۔
چاند رات کو آسمان پر چمکتا ہے۔,شب وصل میں مہتاب نے کی کیا تابانی
چاند رات کو آسمان پر چمکتا ہے۔,شب میں مہتاب فلک پر نور فشاں ہوتا ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,مہتاب فروزاں ہے فلک پر شبِ تار میں۔
چاند رات کو آسمان پر چمکتا ہے۔,ماہِ کامل شبِ تار میں جلوہ گر ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,شب کے افلاک پر مہتاب کا نور بکھیرنا
چاند رات کو آسمان پر چمکتا ہے۔,ماہِ کامل شبِ افلاک پہ تاباں ہوتا ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,ماہِ کامل شب کے افق پر ضوفشاں ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,ماہِ کامل فلک پہ رخشاں ہے شب میں۔
چاند رات کو آسمان پر چمکتا ہے۔,شب کی جبین پر مہتاب کا گہر رخشندہ ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,شب کی جبین پر مہتاب کا گہر ہوتا ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,شب کی جبین پر مہتاب کا نور ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,شب کی جبیں پہ چاند کا جھومر سجا ہے
چاند رات کو آسمان پر چمکتا ہے۔,شب کی جبیں پہ نورِ مہِ کامل کا جلوہ ہے
چاند رات کو آسمان پر چمکتا ہے۔,شبِ مہتاب میں فلک پر حسن کا نزول ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,شب میں مہتاب فلک پر ضیا بکھیرتا ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,فلک پر شب کی چاندی مہتاب سے ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,فلک پر شب میں مہتاب کا ہے راج۔
چاند رات کو آسمان پر چمکتا ہے۔,فلک پر مہتاب رات کی جبین سجاتا ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,ماہِ کامل شب کی جبین پر کرتا ہے نور فشانی۔
چاند رات کو آسمان پر چمکتا ہے۔,ماہِ کامل شب کی جبین پہ ضوفشاں ہے۔
چاند رات کو آسمان پر چمکتا ہے۔,مہِ کامل شبِ تار میں ضیا بکھیرتا ہے۔
چاند رات کو چمکتا ہے,شب میں تاباں ہے مہتاب، کیا نور ہے اس کا
چاند رات کو چمکتا ہے۔,ماہِ کامل شب میں دیتا ہے ضیا باری۔
چاند رات کو چمکتا ہے۔,شب میں چاندنی کا راج ہوتا ہے۔
چھوٹوں سے پیار کرو,چھوٹوں پر شفقت کرو
چھوٹوں سے پیار کرو۔,چھوٹوں پہ شفقت کرو، یہ ہے انسانیت کا تقاضا۔
چھوٹوں سے شفقت کرو۔,چھوٹوں پر مہربانی کرو۔
چوری مت کرو,دزدی سے باز رہو
چیتے کی رفتار تیز ہے۔,چیتے کی رفتار تیز ہے۔
چیونٹی چل رہی ہے۔,چیونٹی چل رہی ہے۔
حج کرنا فرض ہے۔,حج کرنا فرض ہے۔
حج کرو۔,حج بیت اللہ کرو
حساب رکھو۔,آمدنی اور اخراجات کا حساب رکھو
حسد مت کرو,بغض سے اجتناب کرو
حق کے لیے کھڑے ہو جاؤ,حق کے لیے صدا بلند کرو
حوصلہ رکھو۔,ہمت نہ ہارو۔
حوصلے سے کامیابی ملتی ہے۔,حوصلے سے کامیابی ملتی ہے۔
خاموش رہو۔,لب کشائی نہ کرو۔
خاموشی میں بھی ایک زبان ہوتی ہے۔,خاموشی میں بھی پنہاں ہے اک زباں۔
خدا ایک ہے۔,خدا واحد ہے
خدا پر یقین رکھو۔,خدا پر یقین رکھنے سے سکون ملتا ہے
خزاں کا موسم پت جھڑ کا موسم ہوتا ہے۔,موسم خزاں ہے پت جھڑ کا منظر، اداسی کی تصویر ہے تو
خوش رہو,شاد رہو
خوش رہو۔,شاد رہو۔
خوش رہو۔,ہمیشہ خوش رہو
خوشی ایک احساس ہے۔,خوشی دل کو سکون دیتی ہے
خوشی سے زندگی جینے کا مزہ آتا ہے۔,خوشی سے زندگی جینے کا مزہ آتا ہے۔
خیال رکھو۔,دوسروں کا خیال رکھو
خیرات کرو۔,غریبوں اور مسکینوں کی مدد کرو
خیرات کرو۔,صدقہ و خیرات کرو
درخت آکسیجن دیتے ہیں۔,شجر سخاوت سے فضا کو دیتے ہیں جان
درخت زمین کا زیور ہیں۔,اشجار ہیں زینت زمیں کی۔
