english,urdu,poetic_urdu
Pakistani scientists are talented.,پاکستانی سائنسدان باصلاحیت ہیں۔,ڈاکٹر کرتے ہیں علاج مریضوں کا، مسیحائی کی مثال ہیں تو
Pakistani journalists are fearless.,پاکستانی صحافی نڈر ہوتے ہیں۔,سائنسدان ہیں باصلاحیت یہاں، علم کی روشنی ہیں تو
Pakistani students are hard working.,پاکستانی طالب علم محنتی ہوتے ہیں۔,صحافی ہیں بے باک یہاں، سچ کی آواز ہیں تو
Pakistani artists are talented.,پاکستانی فنکار باصلاحیت ہیں۔,طالب علم ہیں محنتی یہاں، کامیابی کی مثال ہیں تو
Pakistani soldiers are brave.,پاکستانی فوجی بہادر ہوتے ہیں۔,فنکار ہیں باکمال یہاں، فن کی معراج ہیں تو
Pakistani farmers are hardworking.,پاکستانی کسان محنتی ہوتے ہیں۔,فوجی ہیں جانباز یہاں، وطن کی شان ہیں تو
Pakistani people respect elders.,پاکستانی لوگ بزرگوں کا احترام کرتے ہیں۔,کسان ہیں محنتی یہاں، دھرتی کی جان ہیں تو
Pakistani people are very hospitable.,پاکستانی لوگ بہت مہمان نواز ہیں۔,لوگ کرتے ہیں احترام بزرگوں کا، تہذیب کی پہچان ہیں تو
Pakistani people do charity.,پاکستانی لوگ خیرات کرتے ہیں۔,پاکستانی ہیں مہمان نواز، یہ ان کی پہچان ہے
Pakistani people are religious.,پاکستانی لوگ دیندار ہوتے ہیں۔,لوگ کرتے ہیں خیرات یہاں، ہمدردی کی مثال ہیں تو
Pakistani people believe in Sufism.,پاکستانی لوگ صوفی ازم پر یقین رکھتے ہیں۔,لوگ ہیں دیندار یہاں، ایمان کی مثال ہیں تو
Pakistani people pray.,پاکستانی لوگ نماز پڑھتے ہیں۔,لوگ رکھتے ہیں یقین صوفی ازم پر، محبت کا پیغام ہے تو
Pakistani people help orphans.,پاکستانی لوگ یتیموں کی مدد کرتے ہیں۔,لوگ پڑھتے ہیں نماز یہاں، خدا کی رضا ہے تو
Save water.,پانی بچاؤ۔,لوگ کرتے ہیں مدد یتیموں کی، انسانیت کی مثال ہیں تو
Save water.,پانی بچاؤ۔,پانی کی بچت کرو
drink water,پانی پیو۔,پانی زندگی ہے
Water is essential for life.,پانی زندگی کے لیے ضروری ہے۔,خوب پانی پیو
Water is essential for life.,پانی زندگی کے لیے ضروری ہے۔,آبِ حیات ہے بقائے زیست کا سامان۔
Water is life.,پانی زندگی ہے۔,آبِ حیات ہے ہر ذی روح کی پیاس
Water is life.,پانی زندگی ہے۔,آب حیات ہے۔
Drink more water.,پانی زیادہ پیو۔,آب ہے زندگی، اس کی قدر کرو ہمیشہ۔
Drink clean water,پانی صاف پیو,کثرت سے آب نوش کرو۔
The water is clean.,پانی صاف ہے۔,آبِ صاف سے بجھاؤ پیاس اپنی
Be optimistic.,پر امید رہو۔,پانی شفاف ہے۔
Be optimistic.,پرامید رہو۔,ہمیشہ پر امید رہو
The flag is glory.,پرچم شان ہے۔,پرامید رہنے سے زندگی آسان ہوتی ہے
Feed the birds.,پرندوں کو دانہ ڈالو۔,پرچم ہے شان ہماری۔
Help the birds.,پرندوں کی مدد کرو۔,پرندوں کو چگنے کے لیے دانہ ڈالو
Birds are flying in the sky,پرندے آسمان پر اڑ رہے ہیں,پرندوں کو دانہ ڈالو
Birds are flying in the sky.,پرندے آسمان پر اڑ رہے ہیں۔,طائرانِ فلک فضا میں پرواز کناں ہیں
Birds fly in the sky,پرندے آسمان پر اڑتے ہیں,طائر فضا میں پرواز کناں ہیں۔
Birds fly in the sky,پرندے آسمان پر اڑتے ہیں,پرندے فضا میں بھرتے ہیں پروازِ بے حساب
Birds fly in the sky.,پرندے آسمان پر اڑتے ہیں۔,فضا میں پرواز کرتے ہیں طیورِ خوش الحان
Birds fly in the sky.,پرندے آسمان پر اڑتے ہیں۔,پرندے فضا میں پرواز کرتے ہیں۔
Birds fly in the sky.,پرندے آسمان پر اڑتے ہیں۔,پرندے فلک کی وسعتوں میں پرواز کرتے ہیں۔
Birds fly in the sky.,پرندے آسمان پر اڑتے ہیں۔,طائر فضا میں پرواز کرتے ہیں۔
Birds fly in the sky.,پرندے آسمان پر اڑتے ہیں۔,طائرانِ فلک فضا میں پرواز کرتے ہیں۔
Birds fly in the sky.,پرندے آسمان پر اڑتے ہیں۔,فضا میں پرندوں کی پروازِ بے کراں ہے۔
Birds fly in the sky.,پرندے آسمان پر اڑتے ہیں۔,فضا میں پرواز ہے طائروں کی۔
Birds fly in the sky.,پرندے آسمان پر اڑتے ہیں۔,فضاؤں میں پرندوں کی آزادی کا ترانہ ہے
Birds fly in the sky.,پرندے آسمان پر اڑتے ہیں۔,فضاؤں میں پرندوں کی اڑان، زندگی کا ترانہ
Birds fly in the sky.,پرندے آسمان پر اڑتے ہیں۔,ہواؤں میں نغموں کی روانی ہے۔
Birds are flying in the sky.,پرندے آسمان میں اڑ رہے ہیں۔,مرغانِ ہوا فضا میں پرواز کناں ہیں۔
Birds fly in the sky.,پرندے آسمان میں اڑتے ہیں۔,طائر فضائے نیلگوں میں پرواز کرتے ہیں۔
Birds are flying,پرندے اڑ رہے ہیں,فضا میں پرندوں کی اڑان، رنگ بھرنا
Birds are flying.,پرندے اڑ رہے ہیں۔,خواہشوں کے پرواز میں گم ہیں
Birds are flying.,پرندے اڑ رہے ہیں۔,پرندے فضا میں پرواز کناں ہیں۔
The birds are chirping.,پرندے چہچہا رہے ہیں۔,پرندے فضا میں محوِ پرواز ہیں۔
The birds are chirping.,پرندے چہچہا رہے ہیں۔,چہچہا رہے ہیں پرندے، فضا میں نغمگی ہے۔
The birds are chirping.,پرندے چہچہاتے ہیں۔,پرندے نغمہ سرا ہیں۔
Birds are chirping in the trees.,پرندے درختوں پر چہچہا رہے ہیں۔,نغمے پرندوں کے شاخوں پہ گونجے
Birds fly in the air,پرندے ہوا میں اڑتے ہیں,شاخوں پر نغمہ سرا ہیں طیورِ خوش الحاں۔
Birds fly in the air.,پرندے ہوا میں اڑتے ہیں۔,اڑتے ہیں پرندے فضاؤں میں آزاد
read,پڑھو۔,طائر فضائے نیلگوں میں پر فشاں ہیں۔
Take care of the neighbors.,پڑوسیوں کا خیال رکھو۔,علم حاصل کرو
The bridge is strong.,پل مضبوط ہے۔,ہمسایوں کا خیال رکھو۔
The fruits are ripe.,پھل پک گئے ہیں۔,پل مضبوط ہے۔
Flowers spread fragrance in the garden.,پھول باغ میں خوشبو بکھیرتے ہیں۔,پھل پک گئے۔
Flowers spread fragrance in the garden.,پھول باغ میں خوشبو بکھیرتے ہیں۔,گلشن میں گلوں نے عطر کی دھوم مچائی
Flowers spread fragrance in the garden.,پھول باغ میں خوشبو پھیلاتے ہیں۔,گلشن میں پھولوں کی مہک فضا کو معطر کرتی ہے۔
Flowers spread fragrance in the garden.,پھول باغ میں خوشبو پھیلاتے ہیں۔,گلشن میں گل عطر فشاں ہوتے ہیں۔
Flowers bloom in the garden,پھول باغ میں کھلتے ہیں,گلشن میں گلوں سے عطر فشاں ہے۔
Flowers bloom in the garden.,پھول باغ میں کھلتے ہیں۔,گلشن میں رنگ و بو سے مہکتے ہیں گل
Flowers bloom in the garden.,پھول باغ میں کھلتے ہیں۔,چمن میں گلوں کا تبسم، بہار کا پیغام
Flowers bloom in the garden.,پھول باغ میں کھلتے ہیں۔,گلزار میں گل رنگ بکھیرتے ہیں۔
Flowers bloom in the garden.,پھول باغ میں کھلتے ہیں۔,گلشن میں رنگوں کی حکمرانی ہے۔
The flowers are very beautiful.,پھول بہت خوبصورت ہیں۔,گلشن میں شگفتہ ہیں گل رعنائیاں۔
The flower is very beautiful.,پھول بہت خوبصورت ہے۔,گل ہیں رنگیں، دلکشا، بزمِ جہاں کی زینت۔
Flowers are beautiful.,پھول خوبصورت ہیں۔,گل ہیں کیا رنگیں، عجب بہار ہے۔
Flowers are fragrant.,پھول خوشبو دیتے ہیں۔,رنگ و بو سے مہکے ہیں گلزار۔
The flower is colorful.,پھول رنگین ہے۔,گلوں سے مہک فضا میں گھلی ہے
Flowers are blooming,پھول کھل رہے ہیں,پھول رنگین ہیں۔
Flowers are blooming.,پھول کھل رہے ہیں۔,بہار نے رنگوں سے کہانی لکھی ہے
Flowers are fragrant,پھولوں سے خوشبو آتی ہے,گلشن میں گلاب مسکرا رہے ہیں۔
Flowers are fragrant.,پھولوں سے خوشبو آتی ہے۔,گلوں سے مہک فضا میں بکھر جاتی ہے
Flowers are fragrant.,پھولوں سے خوشبو آتی ہے۔,گلشن میں بکھری ہے عطر کی مہک ہر سو۔
Flowers are fragrant.,پھولوں سے خوشبو آتی ہے۔,گلشن میں مہکتی ہے ہر سو گل کی خوشبو۔
Flowers are fragrant.,پھولوں سے خوشبو آتی ہے۔,گلوں سے مہک اٹھی ہے فضائے گلستان۔
Flowers are fragrant.,پھولوں سے خوشبو آتی ہے۔,گلوں سے اُٹھتی ہے مہک بادِ صبا کے ساتھ۔
Flowers are fragrant.,پھولوں سے خوشبو آتی ہے۔,گلوں سے مہک اٹھتی ہے فضائے چمن۔
The fragrance of flowers is heart-warming,پھولوں کی خوشبو دل کو لبھاتی ہے,گلوں سے مہکتی ہے بہار۔
The scent of flowers permeates the air.,پھولوں کی خوشبو ہوا میں پھیلی ہوئی ہے۔,رنگ و بو کی یہ رعنائیاں ہیں باعثِ اضطراب
Flowers are fragrant,پھولوں میں خوشبو ہوتی ہے,رنگ و بو کی فضا ہر سو چھائی ہوئی ہے۔
Flowers are fragrant.,پھولوں میں خوشبو ہوتی ہے۔,گلوں میں رچی ہے مہک، کیا لطف ہے اس میں
Flowers are fragrant.,پھولوں میں خوشبو ہوتی ہے۔,پھولوں میں بسا ہے عطرِ بہار۔
Flowers are fragrant.,پھولوں میں خوشبو ہوتی ہے۔,گلوں میں بسا ہے عطرِ بہار۔
Flowers are fragrant.,پھولوں میں خوشبو ہوتی ہے۔,گلوں میں رعنائیاں پنہاں ہوتی ہیں۔
Flowers have fragrance.,پھولوں میں خوشبو ہے۔,گلوں میں رقصاں ہے عطر کی فراوانی
The mountains are fixed in place.,پہاڑ اپنی جگہ پر قائم ہیں۔,گلشن میں مہکتی ہے رنگوں کی زباں۔
The mountains are high.,پہاڑ بلند ہیں۔,کوہ اپنی جگہ پر استادہ ہیں۔
The mountain is high.,پہاڑ بلند ہے۔,پہاڑوں کی بلندی ہے عظمت کی نشانی
The mountain is high.,پہاڑ بلند ہے۔,کوہسار سر بلند ہے۔
Mountains are very high.,پہاڑ بہت اونچے ہوتے ہیں۔,پہاڑ بلند ہے۔
Mountains are very high.,پہاڑ بہت اونچے ہوتے ہیں۔,کوہساروں کی عظمت فلک بوس ہے
The mountains are very high.,پہاڑ بہت اونچے ہیں۔,کوہسار فلک بوس ہیں کیا کہنا۔
Mountains are the height of the earth.,پہاڑ زمین کی بلندی ہیں۔,ہیں یہ کوہِ گراں، عظمت کی نشانی۔
The plant is small.,پودا چھوٹا ہے۔,کوہسار زمیں کا وقار ہیں۔
Take care of the plants.,پودوں کی دیکھ بھال کرو۔,پودا چھوٹا ہے۔
plant,پودے لگاؤ۔,پودوں کو پانی دو
Money is important.,پیسہ ضروری ہے۔,شجر کاری کرو۔
earn money,پیسہ کماؤ۔,پیسہ زندگی کو آسان بناتا ہے
The butterfly is flying.,تتلی اڑ رہی ہے۔,رزق حلال کماؤ
Get experience.,تجربہ حاصل کرو۔,تتلی اڑ رہی ہے۔
Get experience.,تجربہ حاصل کرو۔,تجربات سے گزرو۔
Experiment.,تجربہ کرو۔,تجربہ حاصل کرنا زندگی کا حصہ ہے
Do the research.,تحقیق کرو۔,نئے تجربات کرو
Create.,تخلیق کرو۔,حقائق کی تحقیق کرو
A picture tells a story.,تصویر ایک کہانی بیان کرتی ہے۔,کچھ نیا تخلیق کرو
Education is very important.,تعلیم بہت ضروری ہے۔,تصویر ایک خاموش داستان سناتی ہے
Education is the basis of development.,تعلیم ترقی کی بنیاد ہے۔,علم ہے وہ زیور، جس سے روشن ہے جہاں۔
